"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9682","Verify the end to end test till add product to cart","chromium","2026-04-17","passed","2026-04-17","","EndToEndTest.spec.ts","",""
"","7216","Login verification with DDT valid Login @master","chromium","2026-04-17","passed","2026-04-17","","LoginTestWithDDT.spec.ts","",""
"","4900","Login verification with DDT valid Login","chromium","2026-04-14","passed","2026-04-14","","LoginTestWithDDT.spec.ts","",""
"","1423","basic test","chromium","2026-04-13","passed","2026-04-13","","sampletest.spec.ts","",""
"","7709","Logintest with static credentials","chromium","2026-04-17","passed","2026-04-17","","loginTest.spec.ts","",""
"","6700","Verify the registration process","chromium","2026-04-14","passed","2026-04-14","","AccountRegistration.spec.ts","",""
"","8325","Verify the registration process @master","chromium","2026-04-17","passed","2026-04-17","","AccountRegistration.spec.ts","",""
"","6507","Logintest","chromium","2026-04-13","passed","2026-04-13","","sampletest.spec.ts","",""
"","4298","Login verification with DDT invalid Login","chromium","2026-04-14","passed","2026-04-14","","LoginTestWithDDT.spec.ts","",""
"","4621","Verify login and logout functionality","chromium","2026-04-14","passed","2026-04-14","","LoginLogoutE2e.spec.ts","",""
"","10472","Verify the end to end test till add product to cart @master","chromium","2026-04-17","passed","2026-04-17","","EndToEndTest.spec.ts","",""
"","5075","Login verification with DDT invalid Login @master","chromium","2026-04-17","passed","2026-04-17","","LoginTestWithDDT.spec.ts","",""
"","5019","verify the functionality of search products","chromium","2026-04-15","passed","2026-04-15","","SearchProduct.spec.ts","",""
